image,Default,Tuned,Change (%)
bad_weld_vid168_jpeg_jpg.rf.84ade250a76be3d2727eb93d2a441210.jpg,1,1,0.0
bad_weld_vid168_jpeg_jpg.rf.a1ae5929d8ef72c776d9f61ceadbbe90.jpg,1,1,0.0
bad_weld_vid168_jpeg_jpg.rf.c5f0c7be7ec9b0ab17707e746bdba8a3.jpg,1,1,0.0
bad_weld_vid176_jpeg_jpg.rf.10b8dc85edc67e63410b1db51e87f911.jpg,9,8,-11.11
bad_weld_vid176_jpeg_jpg.rf.6c00366f584c16610fcbff5fbdc12c21.jpg,8,6,-25.0
bad_weld_vid176_jpeg_jpg.rf.8857d6fa47250041ed7432d1e38d9310.jpg,12,9,-25.0
bad_weld_vid176_jpeg_jpg.rf.b563e3c1b450064b9538a8237db9cd0b.jpg,1,1,0.0
bad_weld_vid176_jpeg_jpg.rf.bab76ae09d4411882a5514a5954d7bec.jpg,7,4,-42.86
bad_weld_vid176_jpeg_jpg.rf.e8970457c617e782eda43f93c5f83232.jpg,2,1,-50.0
bad_weld_vid198_jpeg_jpg.rf.1411425364c73329697ac6c480deca01.jpg,7,5,-28.57
bad_weld_vid198_jpeg_jpg.rf.427d5ce90f26fc95200ee36b83c708d1.jpg,6,5,-16.67
bad_weld_vid198_jpeg_jpg.rf.e2de48be94747a6a395317a6d41b3ef9.jpg,6,5,-16.67
bad_weld_vid276_jpeg_jpg.rf.426c0bfd7c754121111579f0e65b8491.jpg,2,2,0.0
bad_weld_vid276_jpeg_jpg.rf.c44a17866b4b764a190cdfe4d8eedb8a.jpg,2,2,0.0
bad_weld_vid276_jpeg_jpg.rf.fce64b84754bf915865977b9dbabbc69.jpg,2,2,0.0
bad_weld_vid327_jpeg_jpg.rf.0b45357aa2eb9d8fa12e623bdd864b40.jpg,6,6,0.0
bad_weld_vid327_jpeg_jpg.rf.1265fad56b21905dafe48151a7c6954f.jpg,7,6,-14.29
